Volcano Name,Country,Region,Latitude,Longitude,Elev
Abu,Japan,Honshu-Japan,34.5,131.6,571
Acamarachi,Chile,Chile-N,-23.3,-67.62,6046
Acatenango,Guatemala,Guatemala,14.501,-90.876,3976
Acigol-Nevsehir,Turkey,Turkey,38.57,34.52,1689
Adams,United States,US-Washington,46.206,-121.49,3742
Adatara,Japan,Honshu-Japan,37.62,140.28,1718
Adwa,Ethiopia,Africa-NE,10.07,40.84,1733
Afdera,Ethiopia,Africa-NE,13.08,40.85,1295
Agmagan-Karadag,Armenia,Armenia,40.275,44.75,3560
Agrigan,United States,Mariana Is-C Pacific,18.77,145.67,965
Agua,Guatemala,Guatemala,14.465,-90.743,3760
Agua de Pau,Portugal,Azores,37.77,-25.47,947
Aguilera,Chile,Chile-S,-50.17,-73.83,0
Agung,Indonesia,Lesser Sunda Is,-8.342,115.508,3142
Ahyi,United States,Mariana Is-C Pacific,20.42,145.03,-137
Akademia Nauk,Russia,Kamchatka,53.983,159.45,1180
Akademia Nauk,Russia,Kamchatka,53.98,159.45,1180
Akagi,Japan,Honshu-Japan,36.53,139.18,1828
Akan,Japan,Hokkaido-Japan,43.38,144.02,1499
Akhtang,Russia,Kamchatka,55.43,158.65,1956
Akita-Komaga-take,Japan,Honshu-Japan,39.75,140.8,1637
Akita-Yake-yama,Japan,Honshu-Japan,39.97,140.77,1366
Akuseki-jima,Japan,Ryukyu Is,29.45,129.6,586
Akuseki-jima,Japan,Ryukyu Is,29.461,129.597,584
Akutan,United States,Aleutian Is,54.13,-165.97,1303
Alaid,Russia,Kuril Is,50.858,155.55,2339
Alamagan,United States,Mariana Is-C Pacific,17.6,145.83,744
Alayta,Ethiopia,Africa-NE,12.88,40.57,1501
"Albano, Monte",Italy,Italy,41.73,12.7,949
"Alcedo, Volcan",Ecuador,Galapagos,-0.43,-91.12,1130
Ale Bagu,Ethiopia,Africa-NE,13.52,40.63,1031
Alid,Eritrea,Africa-NE,14.88,39.92,904
Alligator Lake,Canada,Canada,60.42,-135.42,2217
Almolonga,Guatemala,Guatemala,14.82,-91.48,3197
Alney-Chashakondzha,Russia,Kamchatka,56.7,159.65,2598
Alngey,Russia,Kamchatka,57.7,160.4,1853
Alu,Ethiopia,Africa-NE,13.82,40.55,429
Alutu,Ethiopia,Africa-NE,7.77,38.78,2335
Amak,United States,Aleutian Is,55.42,-163.15,513
Amasing,Indonesia,Halmahera-Indonesia,-0.55,127.5,1030
Ambalatungan Group,Philippines,Luzon-Philippines,17.32,121.1,2329
Ambang,Indonesia,Sulawesi-Indonesia,0.75,124.42,1795
Ambitle,Papua New Guinea,New Ireland-SW Pacif,-4.08,153.65,450
Amboy,United States,US-California,34.55,-115.78,288
Ambre-Bobaomby,Madagascar,Madagascar,-12.48,49.1,1475
Ambrym,Vanuatu,Vanuatu-SW Pacific,-16.25,168.12,1334
Amorong,Philippines,Luzon-Philippines,15.828,120.805,376
Amsterdam Island,Indian Ocean,Indian O-S,-37.83,77.52,881
Amukta,United States,Aleutian Is,52.5,-171.25,1066
Anatahan,United States,Mariana Is-C Pacific,16.35,145.67,788
Anaun,Russia,Kamchatka,56.32,158.83,1828
Andahua Valley,Peru,Peru,-15.42,-72.33,4713
Andrus,Antarctica,Antarctica,-75.8,-132.33,2978
Aneityum,Vanuatu,Vanuatu-SW Pacific,-20.2,169.83,852
Aniakchak,United States,Alaska Peninsula,56.88,-158.17,1341
Ankaizina Field,Madagascar,Madagascar,-14.3,48.67,2878
Ankaratra Field,Madagascar,Madagascar,-19.4,47.2,2644
Antillanca Group,Chile,Chile-C,-40.771,-72.153,1990
Antipodes Island,New Zealand,Pacific-S,-49.683,178.767,402
Antisana,Ecuador,Ecuador,-0.481,-78.141,5753
Antofagasta de la Sierra,Argentina,Argentina,-26.08,-67.5,4000
Antofagasta de la Sierra,Argentina,Argentina,-26.083,-67.5,4000
Antofalla,Argentina,Argentina,-25.53,-68,6100
Antuco,Chile,Chile-C,-37.406,-71.349,2979
Aoba,Vanuatu,Vanuatu-SW Pacific,-15.4,167.83,1496
Aoga-shima,Japan,Izu Is-Japan,32.45,139.77,423
Apaneca Range,El Salvador,El Salvador,13.891,-89.786,2036
Apastepeque Field,El Salvador,El Salvador,13.72,-88.77,700
Apo,Philippines,Mindanao-Philippines,6.987,125.273,2954
Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518
Aracar,Argentina,Argentina,-24.27,-67.77,6082
Aracar,Argentina,Argentina,-24.25,-67.767,6082
Aragats,Armenia,Armenia,40.55,44.12,4090
"Aramuaca, Laguna",El Salvador,El Salvador,13.428,-88.105,180
Ararat,Turkey,Turkey,39.7,44.28,5165
Arayat,Philippines,Luzon-Philippines,15.2,120.742,1026
Ardoukoba,Djibouti,Africa-NE,11.58,42.47,298
Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657
Arenales,Chile,Chile-S,-47.2,-73.483,3437
"Arhab, Harra of",Yemen,Arabia-S,15.63,44.08,3100
Arjuno-Welirang,Indonesia,Java,-7.725,112.58,3339
Arshan,China,China-E,47.5,120.7,
Asama,Japan,Honshu-Japan,36.4,138.53,2560
Asavyo,Ethiopia,Africa-NE,13.07,41.6,1200
Ascension,Atlantic Ocean,Atlantic-S,-7.95,-14.37,858
Askja,Iceland,Iceland-NE,65.03,-16.75,1516
Aso,Japan,Kyushu-Japan,32.88,131.1,1592
Assab Volc Field,Eritrea,Africa-NE,12.95,42.43,987
Asuncion,United States,Mariana Is-C Pacific,19.67,145.4,857
Atacazo,Ecuador,Ecuador,-0.353,-78.617,4463
Atakor Volc Field,Algeria,Africa-N,23.333,5.833,2918
Atitlan,Guatemala,Guatemala,14.583,-91.186,3535
Atka,United States,Aleutian Is,52.38,-174.15,1533
Atlasova,Russia,Kamchatka,57.97,160.65,1764
"Atlixcos, Cerro Los",Mexico,Mexico,19.809,-96.526,800
Atsonupuri,Russia,Kuril Is,44.804,147.13,1205
"Atuel, Caldera del",Argentina,Argentina,-34.65,-70.05,5189
Auckland Field,New Zealand,New Zealand,-36.9,174.87,260
Augustine,United States,Alaska-SW,59.37,-153.42,1252
